ymdh,wl
2022060101,0.57
2022060102,0.58
2022060103,0.58
2022060104,0.58
2022060105,0.58
2022060106,0.58
2022060107,0.57
2022060108,0.58
2022060109,0.57
2022060110,0.58
2022060111,0.58
2022060112,0.57
2022060113,0.58
2022060114,0.57
2022060115,0.57
2022060116,0.58
2022060117,0.57
2022060118,0.57
2022060119,0.57
2022060120,0.57
2022060121,0.57
2022060122,0.57
2022060123,0.57
2022060124,0.57
2022060201,0.57
2022060202,0.57
2022060203,0.57
2022060204,0.57
2022060205,0.57
2022060206,0.57
2022060207,0.57
2022060208,0.57
2022060209,0.57
2022060210,0.57
2022060211,0.57
2022060212,0.57
2022060213,0.57
2022060214,0.57
2022060215,0.57
2022060216,0.57
2022060217,0.57
2022060218,0.57
2022060219,0.57
2022060220,0.57
2022060221,0.57
2022060222,0.57
2022060223,0.57
2022060224,0.57
2022060301,0.57
2022060302,0.57
2022060303,0.57
2022060304,0.57
2022060305,0.57
2022060306,0.57
2022060307,0.57
2022060308,0.57
2022060309,0.57
2022060310,0.57
2022060311,0.57
2022060312,0.57
2022060313,0.57
2022060314,0.57
2022060315,0.57
2022060316,0.57
2022060317,0.57
2022060318,0.57
2022060319,0.57
2022060320,0.57
2022060321,0.57
2022060322,0.57
2022060323,0.57
2022060324,0.57
2022060401,0.57
2022060402,0.57
2022060403,0.57
2022060404,0.57
2022060405,0.57
2022060406,0.57
2022060407,0.57
2022060408,0.57
2022060409,0.57
2022060410,0.57
2022060411,0.57
2022060412,0.57
2022060413,0.57
2022060414,0.57
2022060415,0.57
2022060416,0.57
2022060417,0.57
2022060418,0.56
2022060419,0.56
2022060420,0.56
2022060421,0.56
2022060422,0.56
2022060423,0.56
2022060424,0.57
2022060501,0.57
2022060502,0.57
2022060503,0.57
2022060504,0.57
2022060505,0.57
2022060506,0.57
2022060507,0.57
2022060508,0.57
2022060509,0.58
2022060510,0.58
2022060511,0.58
2022060512,0.59
2022060513,0.59
2022060514,0.59
2022060515,0.59
2022060516,0.6
2022060517,0.62
2022060518,0.63
2022060519,0.64
2022060520,0.66
2022060521,0.68
2022060522,0.68
2022060523,0.69
2022060524,0.69
2022060601,0.7
2022060602,0.72
2022060603,0.73
2022060604,0.74
2022060605,0.75
2022060606,0.76
2022060607,0.75
2022060608,0.75
2022060609,0.75
2022060610,0.75
2022060611,0.74
2022060612,0.73
2022060613,0.73
2022060614,0.72
2022060615,0.72
2022060616,0.71
2022060617,0.71
2022060618,0.7
2022060619,0.7
2022060620,0.7
2022060621,0.69
2022060622,0.69
2022060623,0.68
2022060624,0.68
2022060701,0.67
2022060702,0.67
2022060703,0.66
2022060704,0.66
2022060705,0.66
2022060706,0.65
2022060707,0.65
2022060708,0.65
2022060709,0.65
2022060710,0.65
2022060711,0.64
2022060712,0.65
2022060713,0.64
2022060714,0.64
2022060715,0.64
2022060716,0.64
2022060717,0.64
2022060718,0.63
2022060719,0.63
2022060720,0.63
2022060721,0.64
2022060722,0.65
2022060723,0.66
2022060724,0.67
2022060801,0.68
2022060802,0.68
2022060803,0.67
2022060804,0.67
2022060805,0.67
2022060806,0.68
2022060807,0.68
2022060808,0.69
2022060809,0.69
2022060810,0.69
2022060811,0.7
2022060812,0.7
2022060813,0.71
2022060814,0.7
2022060815,0.71
2022060816,0.71
2022060817,0.71
2022060818,0.7
2022060819,0.71
2022060820,0.7
2022060821,0.7
2022060822,0.7
2022060823,0.7
2022060824,0.69
2022060901,0.69
2022060902,0.69
2022060903,0.69
2022060904,0.68
2022060905,0.68
2022060906,0.68
2022060907,0.67
2022060908,0.67
2022060909,0.67
2022060910,0.67
2022060911,0.66
2022060912,0.66
2022060913,0.66
2022060914,0.66
2022060915,0.66
2022060916,0.66
2022060917,0.65
2022060918,0.65
2022060919,0.65
2022060920,0.65
2022060921,0.65
2022060922,0.65
2022060923,0.65
2022060924,0.64
2022061001,0.64
2022061002,0.64
2022061003,0.67
2022061004,0.65
2022061005,0.64
2022061006,0.64
2022061007,0.64
2022061008,0.64
2022061009,0.63
2022061010,0.63
2022061011,0.6
2022061012,0.61
2022061013,0.62
2022061014,0.63
2022061015,0.63
2022061016,0.63
2022061017,0.63
2022061018,0.63
2022061019,0.63
2022061020,0.63
2022061021,0.62
2022061022,0.62
2022061023,0.62
2022061024,0.62
2022061101,0.62
2022061102,0.62
2022061103,0.62
2022061104,0.62
2022061105,0.62
2022061106,0.62
2022061107,0.62
2022061108,0.62
2022061109,0.62
2022061110,0.62
2022061111,0.62
2022061112,0.62
2022061113,0.61
2022061114,0.61
2022061115,0.61
2022061116,0.61
2022061117,0.61
2022061118,0.61
2022061119,0.61
2022061120,0.61
2022061121,0.61
2022061122,0.61
2022061123,0.61
2022061124,0.61
2022061201,0.61
2022061202,0.61
2022061203,0.61
2022061204,0.61
2022061205,0.61
2022061206,0.61
2022061207,0.61
2022061208,0.61
2022061209,0.61
2022061210,0.61
2022061211,0.61
2022061212,0.61
2022061213,0.61
2022061214,0.61
2022061215,0.6
2022061216,0.6
2022061217,0.61
2022061218,0.6
2022061219,0.6
2022061220,0.6
2022061221,0.6
2022061222,0.6
2022061223,0.6
2022061224,0.6
2022061301,0.6
2022061302,0.6
2022061303,0.6
2022061304,0.6
2022061305,0.6
2022061306,0.6
2022061307,0.6
2022061308,0.6
2022061309,0.6
2022061310,0.6
2022061311,0.6
2022061312,0.6
2022061313,0.6
2022061314,0.6
2022061315,0.6
2022061316,0.6
2022061317,0.6
2022061318,0.6
2022061319,0.6
2022061320,0.6
2022061321,0.6
2022061322,0.6
2022061323,0.6
2022061324,0.59
2022061401,0.59
2022061402,0.59
2022061403,0.6
2022061404,0.6
2022061405,0.6
2022061406,0.6
2022061407,0.6
2022061408,0.6
2022061409,0.6
2022061410,0.6
2022061411,0.6
2022061412,0.59
2022061413,0.59
2022061414,0.59
2022061415,0.6
2022061416,0.59
2022061417,0.59
2022061418,0.6
2022061419,0.59
2022061420,0.59
2022061421,0.6
2022061422,0.6
2022061423,0.59
2022061424,0.6
2022061501,0.6
2022061502,0.6
2022061503,0.6
2022061504,0.6
2022061505,0.6
2022061506,0.6
2022061507,0.6
2022061508,0.6
2022061509,0.6
2022061510,0.6
2022061511,0.61
2022061512,0.61
2022061513,0.61
2022061514,0.62
2022061515,0.62
2022061516,0.62
2022061517,0.63
2022061518,0.63
2022061519,0.63
2022061520,0.64
2022061521,0.64
2022061522,0.64
2022061523,0.64
2022061524,0.65
2022061601,0.65
2022061602,0.66
2022061603,0.66
2022061604,0.67
2022061605,0.67
2022061606,0.67
2022061607,0.67
2022061608,0.66
2022061609,0.66
2022061610,0.66
2022061611,0.66
2022061612,0.66
2022061613,0.66
2022061614,0.65
2022061615,0.65
2022061616,0.66
2022061617,0.65
2022061618,0.65
2022061619,0.65
2022061620,0.65
2022061621,0.65
2022061622,0.65
2022061623,0.65
2022061624,0.64
2022061701,0.64
2022061702,0.64
2022061703,0.64
2022061704,0.64
2022061705,0.64
2022061706,0.64
2022061707,0.64
2022061708,0.64
2022061709,0.63
2022061710,0.63
2022061711,0.63
2022061712,0.63
2022061713,0.63
2022061714,0.63
2022061715,0.63
2022061716,0.63
2022061717,0.63
2022061718,0.63
2022061719,0.63
2022061720,0.62
2022061721,0.62
2022061722,0.62
2022061723,0.62
2022061724,0.62
2022061801,0.62
2022061802,0.62
2022061803,0.62
2022061804,0.62
2022061805,0.62
2022061806,0.62
2022061807,0.62
2022061808,0.62
2022061809,0.62
2022061810,0.61
2022061811,0.62
2022061812,0.62
2022061813,0.62
2022061814,0.61
2022061815,0.62
2022061816,0.61
2022061817,0.61
2022061818,0.61
2022061819,0.61
2022061820,0.61
2022061821,0.62
2022061822,0.61
2022061823,0.61
2022061824,0.61
2022061901,0.61
2022061902,0.61
2022061903,0.61
2022061904,0.61
2022061905,0.61
2022061906,0.61
2022061907,0.61
2022061908,0.61
2022061909,0.61
2022061910,0.61
2022061911,0.61
2022061912,0.61
2022061913,0.61
2022061914,0.61
2022061915,0.6
2022061916,0.61
2022061917,0.61
2022061918,0.6
2022061919,0.6
2022061920,0.63
2022061921,0.62
2022061922,0.61
2022061923,0.61
2022061924,0.6
2022062001,0.6
2022062002,0.6
2022062003,0.6
2022062004,0.6
2022062005,0.6
2022062006,0.6
2022062007,0.6
2022062008,0.6
2022062009,0.6
2022062010,0.6
2022062011,0.6
2022062012,0.6
2022062013,0.6
2022062014,0.6
2022062015,0.6
2022062016,0.66
2022062017,0.61
2022062018,0.61
2022062019,0.6
2022062020,0.6
2022062021,0.6
2022062022,0.6
2022062023,0.6
2022062024,0.6
2022062101,0.6
2022062102,0.6
2022062103,0.6
2022062104,0.6
2022062105,0.6
2022062106,0.6
2022062107,0.6
2022062108,0.6
2022062109,0.6
2022062110,0.59
2022062111,0.59
2022062112,0.59
2022062113,0.57
2022062114,0.56
2022062115,0.58
2022062116,0.59
2022062117,0.59
2022062118,0.59
2022062119,0.59
2022062120,0.59
2022062121,0.59
2022062122,0.59
2022062123,0.59
2022062124,0.59
2022062201,0.59
2022062202,0.59
2022062203,0.59
2022062204,0.59
2022062205,0.59
2022062206,0.59
2022062207,0.59
2022062208,0.59
2022062209,0.59
2022062210,0.59
2022062211,0.59
2022062212,0.59
2022062213,0.59
2022062214,0.59
2022062215,0.59
2022062216,0.59
2022062217,0.59
2022062218,0.59
2022062219,0.59
2022062220,0.59
2022062221,0.59
2022062222,0.59
2022062223,0.59
2022062224,0.59
2022062301,0.59
2022062302,0.59
2022062303,0.59
2022062304,0.59
2022062305,0.59
2022062306,0.59
2022062307,0.59
2022062308,0.59
2022062309,0.59
2022062310,0.59
2022062311,0.59
2022062312,0.59
2022062313,0.59
2022062314,0.59
2022062315,0.59
2022062316,0.59
2022062317,0.59
2022062318,0.59
2022062319,0.59
2022062320,0.59
2022062321,0.62
2022062322,0.6
2022062323,0.59
2022062324,0.59
2022062401,0.65
2022062402,0.69
2022062403,0.74
2022062404,0.75
2022062405,1.04
2022062406,1.44
2022062407,1.38
2022062408,1.57
2022062409,1.56
2022062410,1.46
2022062411,1.44
2022062412,1.33
2022062413,1.27
2022062414,1.18
2022062415,1.18
2022062416,1.12
2022062417,1.1
2022062418,1.09
2022062419,1.06
2022062420,1.04
2022062421,1.02
2022062422,1.01
2022062423,1.0
2022062424,0.98
2022062501,0.97
2022062502,0.96
2022062503,0.95
2022062504,0.94
2022062505,0.93
2022062506,0.92
2022062507,0.92
2022062508,0.91
2022062509,0.9
2022062510,0.9
2022062511,0.89
2022062512,0.89
2022062513,0.88
2022062514,0.88
2022062515,0.87
2022062516,0.87
2022062517,0.86
2022062518,0.86
2022062519,0.85
2022062520,0.85
2022062521,0.85
2022062522,0.84
2022062523,0.84
2022062524,0.83
2022062601,0.83
2022062602,0.83
2022062603,0.82
2022062604,0.82
2022062605,0.82
2022062606,0.82
2022062607,0.81
2022062608,0.81
2022062609,0.8
2022062610,0.8
2022062611,0.8
2022062612,0.8
2022062613,0.79
2022062614,0.79
2022062615,0.79
2022062616,0.79
2022062617,0.79
2022062618,0.79
2022062619,0.78
2022062620,0.78
2022062621,0.78
2022062622,0.78
2022062623,0.77
2022062624,0.77
2022062701,0.77
2022062702,0.77
2022062703,0.77
2022062704,0.77
2022062705,0.76
2022062706,0.77
2022062707,0.77
2022062708,0.77
2022062709,0.77
2022062710,0.77
2022062711,0.77
2022062712,0.78
2022062713,0.79
2022062714,0.8
2022062715,0.81
2022062716,0.82
2022062717,0.84
2022062718,0.86
2022062719,0.91
2022062720,0.92
2022062721,0.94
2022062722,0.94
2022062723,0.94
2022062724,0.95
2022062801,0.94
2022062802,0.95
2022062803,0.94
2022062804,0.94
2022062805,0.95
2022062806,0.95
2022062807,0.98
2022062808,1.0
2022062809,1.01
2022062810,1.01
2022062811,1.01
2022062812,1.01
2022062813,1.0
2022062814,1.0
2022062815,0.99
2022062816,0.99
2022062817,0.98
2022062818,0.98
2022062819,0.97
2022062820,0.97
2022062821,0.96
2022062822,0.96
2022062823,0.96
2022062824,0.96
2022062901,0.96
2022062902,0.96
2022062903,0.96
2022062904,0.96
2022062905,0.97
2022062906,0.99
2022062907,0.99
2022062908,1.0
2022062909,1.01
2022062910,1.02
2022062911,1.04
2022062912,1.09
2022062913,1.11
2022062914,1.11
2022062915,1.1
2022062916,1.08
2022062917,1.08
2022062918,1.06
2022062919,1.05
2022062920,1.04
2022062921,1.04
2022062922,1.04
2022062923,1.04
2022062924,1.05
2022063001,1.05
2022063002,1.08
2022063003,1.1
2022063004,1.25
2022063005,1.27
2022063006,1.24
2022063007,1.25
2022063008,1.24
2022063009,1.21
2022063010,1.2
2022063011,1.25
2022063012,1.22
2022063013,1.21
2022063014,1.21
2022063015,1.21
2022063016,1.18
2022063017,1.16
2022063018,1.14
2022063019,1.12
2022063020,1.12
2022063021,1.11
2022063022,1.11
2022063023,1.11
2022063024,1.09
2022070101,1.08
2022070102,1.07
2022070103,1.07
2022070104,1.06
2022070105,1.05
2022070106,1.05
2022070107,1.03
2022070108,1.03
2022070109,1.02
2022070110,1.02
2022070111,1.01
2022070112,1.01
2022070113,1.0
2022070114,1.0
2022070115,0.99
2022070116,0.99
2022070117,0.98
2022070118,0.98
2022070119,0.97
2022070120,0.96
2022070121,0.96
2022070122,0.96
2022070123,0.95
2022070124,0.94
2022070201,0.94
2022070202,0.94
2022070203,0.93
2022070204,0.93
2022070205,0.92
2022070206,0.92
2022070207,0.92
2022070208,0.91
2022070209,0.91
2022070210,0.91
2022070211,0.9
2022070212,0.9
2022070213,0.9
2022070214,0.89
2022070215,0.89
2022070216,0.89
2022070217,0.88
2022070218,0.88
2022070219,0.87
2022070220,0.87
2022070221,0.87
2022070222,0.86
2022070223,0.86
2022070224,0.86
2022070301,0.85
2022070302,0.85
2022070303,0.85
2022070304,0.85
2022070305,0.84
2022070306,0.84
2022070307,0.84
2022070308,0.84
2022070309,0.84
2022070310,0.83
2022070311,0.83
2022070312,0.83
2022070313,0.83
2022070314,0.83
2022070315,0.82
2022070316,0.82
2022070317,0.82
2022070318,0.82
2022070319,0.81
2022070320,0.81
2022070321,0.81
2022070322,0.8
2022070323,0.8
2022070324,0.8
2022070401,0.8
2022070402,0.79
2022070403,0.79
2022070404,0.79
2022070405,0.79
2022070406,0.79
2022070407,0.79
2022070408,0.79
2022070409,0.79
2022070410,0.78
2022070411,0.78
2022070412,0.78
2022070413,0.78
2022070414,0.78
2022070415,0.78
2022070416,0.78
2022070417,0.78
2022070418,0.78
2022070419,0.78
2022070420,0.78
2022070421,0.78
2022070422,0.77
2022070423,0.77
2022070424,0.77
2022070501,0.77
2022070502,0.77
2022070503,0.77
2022070504,0.76
2022070505,0.76
2022070506,0.76
2022070507,0.76
2022070508,0.76
2022070509,0.76
2022070510,0.76
2022070511,0.76
2022070512,0.75
2022070513,0.75
2022070514,0.75
2022070515,0.75
2022070516,0.75
2022070517,0.75
2022070518,0.75
2022070519,0.75
2022070520,0.74
2022070521,0.74
2022070522,0.74
2022070523,0.74
2022070524,0.74
2022070601,0.74
2022070602,0.74
2022070603,0.96
2022070604,0.93
2022070605,0.91
2022070606,0.89
2022070607,0.87
2022070608,0.86
2022070609,0.85
2022070610,0.84
2022070611,0.83
2022070612,0.82
2022070613,0.82
2022070614,0.81
2022070615,0.81
2022070616,0.8
2022070617,0.8
2022070618,0.8
2022070619,0.79
2022070620,0.79
2022070621,0.79
2022070622,0.78
2022070623,0.78
2022070624,0.78
2022070701,0.78
2022070702,0.77
2022070703,0.77
2022070704,0.77
2022070705,0.77
2022070706,0.77
2022070707,0.77
2022070708,0.76
2022070709,0.76
2022070710,0.76
2022070711,0.76
2022070712,0.76
2022070713,0.76
2022070714,0.76
2022070715,0.76
2022070716,0.76
2022070717,0.75
2022070718,0.76
2022070719,0.75
2022070720,0.75
2022070721,0.75
2022070722,0.75
2022070723,0.75
2022070724,0.75
2022070801,0.75
2022070802,0.75
2022070803,0.75
2022070804,0.74
2022070805,0.75
2022070806,0.75
2022070807,0.75
2022070808,0.76
2022070809,0.77
2022070810,0.83
2022070811,0.89
2022070812,0.89
2022070813,0.88
2022070814,0.88
2022070815,0.87
2022070816,0.86
2022070817,0.85
2022070818,0.85
2022070819,0.84
2022070820,0.84
2022070821,0.83
2022070822,0.83
2022070823,0.83
2022070824,0.83
2022070901,0.82
2022070902,0.82
2022070903,0.82
2022070904,0.82
2022070905,0.82
2022070906,0.81
2022070907,0.81
2022070908,0.81
2022070909,0.8
2022070910,0.8
2022070911,0.8
2022070912,0.8
2022070913,0.8
2022070914,0.8
2022070915,0.8
2022070916,0.8
2022070917,0.79
2022070918,0.79
2022070919,0.79
2022070920,0.79
2022070921,0.78
2022070922,0.8
2022070923,0.78
2022070924,0.78
2022071001,0.78
2022071002,0.77
2022071003,0.77
2022071004,0.77
2022071005,0.77
2022071006,0.77
2022071007,0.77
2022071008,0.77
2022071009,0.76
2022071010,0.77
2022071011,0.76
2022071012,0.76
2022071013,0.76
2022071014,0.76
2022071015,0.76
2022071016,0.76
2022071017,0.76
2022071018,0.76
2022071019,0.76
2022071020,0.75
2022071021,0.75
2022071022,0.75
2022071023,0.75
2022071024,0.75
2022071101,0.75
2022071102,0.74
2022071103,0.74
2022071104,0.74
2022071105,0.75
2022071106,0.75
2022071107,0.76
2022071108,0.76
2022071109,0.76
2022071110,0.76
2022071111,0.76
2022071112,0.77
2022071113,0.78
2022071114,0.78
2022071115,0.78
2022071116,0.78
2022071117,0.78
2022071118,0.78
2022071119,0.79
2022071120,0.79
2022071121,0.78
2022071122,0.78
2022071123,0.78
2022071124,0.78
2022071201,0.78
2022071202,0.77
2022071203,0.78
2022071204,0.79
2022071205,0.77
2022071206,0.77
2022071207,0.77
2022071208,0.76
2022071209,0.76
2022071210,0.76
2022071211,0.76
2022071212,0.76
2022071213,0.76
2022071214,0.76
2022071215,0.69
2022071216,0.75
2022071217,0.75
2022071218,0.75
2022071219,0.75
2022071220,0.75
2022071221,0.75
2022071222,0.74
2022071223,0.74
2022071224,0.74
2022071301,0.74
2022071302,0.74
2022071303,0.74
2022071304,0.74
2022071305,0.74
2022071306,0.74
2022071307,0.74
2022071308,0.74
2022071309,0.74
2022071310,0.74
2022071311,0.74
2022071312,0.74
2022071313,0.74
2022071314,0.73
2022071315,0.73
2022071316,0.73
2022071317,0.73
2022071318,0.73
2022071319,0.73
2022071320,0.73
2022071321,0.73
2022071322,0.73
2022071323,0.73
2022071324,0.73
2022071401,0.73
2022071402,0.73
2022071403,0.73
2022071404,0.73
2022071405,0.74
2022071406,0.74
2022071407,0.75
2022071408,0.75
2022071409,0.75
2022071410,0.75
2022071411,0.76
2022071412,0.77
2022071413,0.77
2022071414,0.78
2022071415,0.79
2022071416,0.81
2022071417,0.81
2022071418,0.81
2022071419,0.81
2022071420,0.79
2022071421,0.79
2022071422,0.78
2022071423,0.78
2022071424,0.77
2022071501,0.77
2022071502,0.77
2022071503,0.76
2022071504,0.76
2022071505,0.76
2022071506,0.76
2022071507,0.76
2022071508,0.75
2022071509,0.75
2022071510,0.75
2022071511,0.75
2022071512,0.75
2022071513,0.75
2022071514,0.75
2022071515,0.75
2022071516,0.74
2022071517,0.74
2022071518,0.74
2022071519,0.74
2022071520,0.74
2022071521,0.74
2022071522,0.74
2022071523,0.74
2022071524,0.74
2022071601,0.73
2022071602,0.74
2022071603,0.73
2022071604,0.73
2022071605,0.73
2022071606,0.73
2022071607,0.73
2022071608,0.73
2022071609,0.73
2022071610,0.73
2022071611,0.72
2022071612,0.73
2022071613,0.73
2022071614,0.73
2022071615,0.72
2022071616,0.72
2022071617,0.72
2022071618,0.72
2022071619,0.72
2022071620,0.72
2022071621,0.72
2022071622,0.72
2022071623,0.72
2022071624,0.72
2022071701,0.71
2022071702,0.72
2022071703,0.71
2022071704,0.71
2022071705,0.71
2022071706,0.71
2022071707,0.71
2022071708,0.71
2022071709,0.71
2022071710,0.71
2022071711,0.71
2022071712,0.71
2022071713,0.71
2022071714,0.71
2022071715,0.71
2022071716,0.7
2022071717,0.71
2022071718,0.71
2022071719,0.7
2022071720,0.71
2022071721,0.71
2022071722,0.7
2022071723,0.7
2022071724,0.7
2022071801,0.7
2022071802,0.7
2022071803,0.7
2022071804,0.7
2022071805,0.73
2022071806,0.76
2022071807,0.78
2022071808,0.8
2022071809,0.83
2022071810,0.9
2022071811,0.97
2022071812,1.11
2022071813,1.44
2022071814,1.49
2022071815,1.78
2022071816,1.83
2022071817,1.83
2022071818,1.75
2022071819,1.79
2022071820,1.73
2022071821,1.65
2022071822,1.56
2022071823,1.57
2022071824,1.52
2022071901,1.48
2022071902,1.44
2022071903,1.43
2022071904,1.4
2022071905,1.41
2022071906,1.39
2022071907,1.34
2022071908,1.3
2022071909,1.32
2022071910,1.33
2022071911,1.3
2022071912,1.3
2022071913,1.26
2022071914,1.2
2022071915,1.17
2022071916,1.19
2022071917,1.19
2022071918,1.18
2022071919,1.17
2022071920,1.14
2022071921,1.11
2022071922,1.11
2022071923,1.11
2022071924,1.1
2022072001,1.11
2022072002,1.09
2022072003,1.09
2022072004,1.08
2022072005,1.08
2022072006,1.08
2022072007,1.07
2022072008,1.05
2022072009,1.05
2022072010,1.03
2022072011,1.03
2022072012,1.03
2022072013,1.02
2022072014,1.01
2022072015,1.01
2022072016,1.01
2022072017,1.0
2022072018,0.99
2022072019,0.99
2022072020,0.98
2022072021,0.98
2022072022,0.97
2022072023,0.97
2022072024,0.96
2022072101,0.96
2022072102,0.96
2022072103,0.96
2022072104,0.95
2022072105,0.96
2022072106,0.96
2022072107,0.96
2022072108,0.97
2022072109,0.96
2022072110,0.97
2022072111,0.97
2022072112,0.97
2022072113,0.98
2022072114,0.98
2022072115,0.97
2022072116,0.96
2022072117,0.96
2022072118,0.95
2022072119,0.95
2022072120,0.94
2022072121,0.94
2022072122,0.93
2022072123,0.93
2022072124,0.93
2022072201,0.92
2022072202,0.92
2022072203,0.92
2022072204,0.92
2022072205,0.91
2022072206,0.91
2022072207,0.91
2022072208,0.91
2022072209,0.9
2022072210,0.9
2022072211,0.9
2022072212,0.9
2022072213,0.89
2022072214,0.89
2022072215,0.89
2022072216,0.89
2022072217,0.88
2022072218,0.88
2022072219,0.88
2022072220,0.88
2022072221,0.87
2022072222,0.87
2022072223,0.87
2022072224,0.87
2022072301,0.86
2022072302,0.86
2022072303,0.86
2022072304,0.86
2022072305,0.86
2022072306,0.86
2022072307,0.86
2022072308,0.86
2022072309,0.85
2022072310,0.85
2022072311,0.85
2022072312,0.85
2022072313,0.85
2022072314,0.85
2022072315,0.85
2022072316,0.85
2022072317,0.84
2022072318,0.84
2022072319,0.84
2022072320,0.84
2022072321,0.85
2022072322,0.86
2022072323,0.86
2022072324,0.86
2022072401,0.87
2022072402,0.88
2022072403,0.91
2022072404,0.91
2022072405,0.93
2022072406,0.95
2022072407,0.97
2022072408,1.0
2022072409,1.04
2022072410,1.04
2022072411,1.02
2022072412,1.01
2022072413,1.0
2022072414,0.99
2022072415,0.99
2022072416,0.98
2022072417,0.97
2022072418,0.98
2022072419,0.97
2022072420,0.96
2022072421,0.96
2022072422,0.96
2022072423,0.96
2022072424,0.96
2022072501,0.96
2022072502,0.96
2022072503,0.95
2022072504,0.95
2022072505,0.95
2022072506,0.95
2022072507,0.95
2022072508,0.94
2022072509,0.94
2022072510,0.94
2022072511,0.94
2022072512,0.94
2022072513,0.94
2022072514,0.94
2022072515,0.93
2022072516,0.93
2022072517,0.93
2022072518,0.93
2022072519,0.92
2022072520,0.92
2022072521,0.92
2022072522,0.92
2022072523,0.91
2022072524,0.91
2022072601,0.91
2022072602,0.91
2022072603,0.9
2022072604,0.9
2022072605,0.9
2022072606,0.9
2022072607,0.9
2022072608,0.9
2022072609,0.89
2022072610,0.89
2022072611,0.89
2022072612,0.89
2022072613,0.89
2022072614,0.89
2022072615,0.89
2022072616,0.88
2022072617,0.88
2022072618,0.88
2022072619,0.87
2022072620,0.87
2022072621,0.87
2022072622,0.87
2022072623,0.86
2022072624,0.86
2022072701,0.86
2022072702,0.86
2022072703,0.86
2022072704,0.86
2022072705,0.85
2022072706,0.85
2022072707,0.85
2022072708,0.85
2022072709,0.85
2022072710,0.85
2022072711,0.85
2022072712,0.85
2022072713,0.84
2022072714,0.84
2022072715,0.84
2022072716,0.84
2022072717,0.83
2022072718,0.83
2022072719,0.83
2022072720,0.83
2022072721,0.83
2022072722,0.82
2022072723,0.82
2022072724,0.82
2022072801,0.82
2022072802,0.81
2022072803,0.81
2022072804,0.81
2022072805,0.81
2022072806,0.81
2022072807,0.81
2022072808,0.81
2022072809,0.81
2022072810,0.8
2022072811,0.8
2022072812,0.8
2022072813,0.8
2022072814,0.8
2022072815,0.8
2022072816,0.8
2022072817,0.8
2022072818,0.79
2022072819,0.82
2022072820,0.8
2022072821,0.79
2022072822,0.79
2022072823,0.78
2022072824,0.78
2022072901,0.78
2022072902,0.78
2022072903,0.78
2022072904,0.78
2022072905,0.78
2022072906,0.78
2022072907,0.78
2022072908,0.77
2022072909,0.7
2022072910,0.77
2022072911,0.77
2022072912,0.77
2022072913,0.77
2022072914,0.77
2022072915,0.77
2022072916,0.76
2022072917,0.77
2022072918,0.76
2022072919,0.77
2022072920,0.76
2022072921,0.76
2022072922,0.76
2022072923,0.75
2022072924,0.75
2022073001,0.75
2022073002,0.75
2022073003,0.75
2022073004,0.75
2022073005,0.75
2022073006,0.75
2022073007,0.75
2022073008,0.75
2022073009,0.75
2022073010,0.75
2022073011,0.74
2022073012,0.75
2022073013,0.74
2022073014,0.74
2022073015,0.74
2022073016,0.74
2022073017,0.74
2022073018,0.74
2022073019,0.74
2022073020,0.74
2022073021,0.74
2022073022,0.74
2022073023,0.74
2022073024,0.74
2022073101,0.74
2022073102,0.74
2022073103,0.74
2022073104,0.74
2022073105,0.74
2022073106,0.75
2022073107,0.75
2022073108,0.77
2022073109,0.78
2022073110,0.8
2022073111,0.83
2022073112,0.88
2022073113,1.12
2022073114,1.55
2022073115,1.6
2022073116,1.72
2022073117,1.68
2022073118,1.74
2022073119,1.78
2022073120,1.77
2022073121,1.76
2022073122,1.74
2022073123,1.74
2022073124,1.83
2022080101,1.77
